fid;name;latitude;longitude;gebied;domeinen;website;koepels;initiatief_type;location_type
166;Mathenesse aan de Maas;51.913216;4.418521;Nieuw Mathenesse;Groen;https://www.mathenesseaandemaas.nl/nieuws/9hp9y6n5rridwjans4f7mts22fcbwl;;plek;point
167;Voedseltuin Rotterdam;51.90869444;4.43275;Nieuw Mathenesse;Groen;www.voedseltuin.com;;plek;point
170;Tidemanplein - Tidemantuinieren;51.91741667;4.448416667;Nieuwe Westen;Groen;https://www.ad.nl/rotterdam/hoe-een-dieptepunt-in-de-tidemanstraat-de-bewoners-juist-met-elkaar-verbond~a4bc0add/;;plek;point
171;De Omscholing;51.91405556;4.451861111;Nieuwe Westen;Groen;http://www.omscholing.net/about/;;plek;point
172;Nozepandje (Nozemapandje);51.91522904;4.452501701;Nieuwe Westen;Groen;https://www.facebook.com/Nozepandje-590173391003418;;plek;point
173;Heemtuin (besloten binnentuin);51.91516667;4.453555556;Nieuwe Westen;Groen;;;plek;point
174;Vlondertuin Mouterbrug;51.90613889;4.448444444;Oud Delfshaven;Groen;;;plek;point
175;Spoordijk Spangen;51.917859;4.429363;Oud Mathenesse;Groen;www.facebook.com/natuurlijkspangen;;plek;point
176;Buurttuin Oud Mathenesse;51.914189;4.422672;Oud Mathenesse;Groen;http://buurttuin.info/;;plek;point
177;Schiemond Vergroent;51.90332;4.442454;Schiemond;Groen;https://www.instagram.com/schiemond_vergroent/;;plek;point
178;Voedselbos Borgerstraat;51.920298;4.435932;Spangen;Groen;https://explorer.land/p/project/rotterdam-food-forest/site/33h16Q/about;;plek;point
180;Wallisblok Spangen ;51.9175;4.441138889;Spangen;Groen;;;plek;point
181;Staringtuin ;51.91851393;4.438120837;Spangen;Groen;http://www.studiojoostvandijk.nl/staringtuin/;;plek;point
182;Blauwe Vos;51.91778692;4.439180043;Spangen;Groen;;;plek;point
183;Bellamyplein Waterplein - buurtkas op;51.91633333;4.433694444;Spangen;Groen;;;plek;point
184;Nieuwe Buren;51.91575;4.434333333;Spangen;Groen;;;plek;point
186;Afrikaanderwijk Cooperatie;51.89883333;4.500444444;Afrikaanderwijk;Groen;http://wijkcooperatie.org/;;plek;point
187;Afrikaanderwijk Botanische Tuin;51.89966667;4.502916667;Afrikaanderwijk;Groen;http://btarotterdam.nl/btarotterdam.nl/en/home-2/;;plek;point
188;In de Roos Bloemhof ;51.89463889;4.500055556;Bloemhof;Groen;http://platformbinnentuinen.nl/tuinen/in-de-roos/;;plek;point
190;Buurttuin de Regenboog;51.89691667;4.498;Bloemhof;Groen;http://groeneloper010.nl/groene-plekken-in-feijenoord/regenboog.html;;plek;point
191;Moskeemoestuin;51.913608;4.506151;Feijenoord;Groen;https://stichtingsccf.nl/;;plek;point
192;Nassautuintjes;51.91382;4.506139;Feijenoord;Groen;groenegolfopzuid.net;;plek;point
193;Hefpark;51.91227778;4.500777778;Feijenoord;Groen;www.hefpark.nl;;plek;point
194;Stampioen Dwarsstraten;51.91211111;4.504388889;Feijenoord;Groen;3071 TN;;plek;point
195;FijnOord Buurtmoestuin;51.89830556;4.5145;Hillesluis;Groen;https://www.facebook.com/profile.php?id=100006816977821;;plek;point
196;Driehoek (De) (coll. Binnentuin);51.90055556;4.483194444;Katendrecht;Groen;http://platformbinnentuinen.nl/tuinen/;;plek;point
197;Tuin van Katendrecht - De;51.900492;4.480309;Katendrecht;Groen;https://www.dehavenloods.nl/nieuws/algemeen/53918/een-liefdesverklaring-aan-de-tuin-van-katendrecht;;plek;point
198;Laankwartier II (coll. Binnentuin);51.93713889;4.583722222;Katendrecht;Groen;http://platformbinnentuinen.nl/tuinen/laankwartier-ii/;;plek;point
199;Locomotieftuin;51.90475;4.50675;Kop van Zuid;Groen;https://www.facebook.com/locomotief.tuin.3/;;plek;point
200;Natuurtuin - Villa Zebra;51.911447;4.497172;Kop van Zuid;Groen;https://www.villazebra.nl/;;plek;point
201;De Overtuin;51.90108333;4.508694444;Kop van Zuid;Groen;https://overmaas-wonen.nl/al-gebouwd/overtuin/;;plek;point
202;Halfrondplantsoen;51.911222;4.498847;Kop van Zuid;Groen;;;plek;point
203;Oranjeboomtuin;51.90816667;4.506805556;Kop van Zuid;Groen;http://www.transformism.org/posts/view/1;;plek;point
